,SIPD/AlwaysCooperate-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/ExtortionateZD-Default-v0,SIPD/TitForTat-Default-v0,SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/WinStayLoseSwitch-Default-v0,SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0
SIPD/AlwaysCooperate-Default-v0,0.015000000000000006,-0.017424242424242436,-0.032142857142857154,-0.03214285714285715,-0.03991228070175437,-0.026851851851851852,-0.02727272727272728,-0.022619047619047615,-0.029861111111111126,-0.015833333333333335,-0.014999999999999972,-0.03284313725490195,-0.022916666666666658,-0.02727272727272728,-0.009259259259259257,-0.00555555555555554,-0.03166666666666666,-0.025000000000000012,-0.03750000000000001,-0.03284313725490195,-0.022916666666666658,-0.02727272727272728,-0.01805555555555555,-0.00555555555555554,-0.02666666666666668,-0.029545454545454555,-0.02065217391304347,-0.015476190476190472,-0.00555555555555554,0.0011111111111111126,-0.004444444444444449
SIPD/AlwaysDefect-Default-v0,0.05000000000000002,-0.15378787878787872,-0.2861111111111112,-0.22380952380952387,-0.2723684210526316,-0.22129629629629616,-0.23257575757575757,-0.23055555555555554,-0.25763888888888886,-0.2216666666666667,-0.03666666666666661,-0.2397058823529412,-0.18229166666666666,-0.23257575757575757,-0.1731481481481481,-0.23388888888888876,-0.2383333333333334,-0.26319444444444445,-0.18888888888888888,-0.2397058823529412,-0.18229166666666666,-0.23257575757575757,-0.20763888888888887,-0.23388888888888876,-0.2900000000000001,-0.10833333333333327,-0.22789855072463772,-0.18690476190476185,-0.23388888888888876,-0.19499999999999995,-0.2394444444444445
SIPD/TitForTat-Default-v0,-0.16666666666666666,0.21590909090909094,0.4448412698412698,0.39047619047619053,0.42149122807017525,0.3287037037037036,0.37499999999999994,0.35119047619047616,0.4006944444444445,0.3266666666666666,0.06333333333333328,0.3838235294117648,0.284375,0.37499999999999994,0.22870370370370374,0.3433333333333334,0.38499999999999995,0.41388888888888886,0.33472222222222225,0.3838235294117648,0.284375,0.37499999999999994,0.31388888888888894,0.3433333333333334,0.44666666666666655,0.2416666666666666,0.37282608695652164,0.2932539682539682,0.3433333333333334,0.27777777777777773,0.35777777777777775
SIPD/WinStayLoseSwitch-Default-v0,-0.1,0.0022727272727272696,0.05992063492063491,0.036904761904761926,0.04517543859649122,0.14351851851851852,0.07575757575757573,0.1376984126984127,0.0826388888888889,0.027500000000000014,-0.05000000000000002,0.037745098039215656,0.14166666666666666,0.07575757575757573,0.1648148148148148,0.1311111111111111,0.050555555555555576,0.05347222222222224,0.018055555555555568,0.037745098039215656,0.14166666666666666,0.07575757575757573,0.1548611111111111,0.1311111111111111,0.059444444444444446,-0.008333333333333335,0.0423913043478261,0.16150793650793654,0.1311111111111111,0.18555555555555567,0.10444444444444442
SIPD/ExtortionateZD-Default-v0,0.05666666666666667,0.020454545454545447,-0.04007936507936507,-0.03928571428571429,-0.029385964912280696,-0.10277777777777775,-0.05681818181818182,-0.09246031746031745,-0.045138888888888874,-0.01833333333333334,-0.008333333333333302,-0.05343137254901961,-0.12604166666666666,-0.05681818181818182,-0.11296296296296297,-0.0811111111111111,-0.00833333333333334,-0.029861111111111113,-0.03749999999999999,-0.05343137254901961,-0.12604166666666666,-0.05681818181818182,-0.09861111111111114,-0.0811111111111111,-0.042777777777777776,-0.0553030303030303,-0.03804347826086956,-0.121031746031746,-0.0811111111111111,-0.1177777777777778,-0.06277777777777778
