,MiniGrid-MultiRoom-N2-S4-v0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,MiniGrid-MultiRoom-N4-S5-v0,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,MiniGrid-MultiRoom-N6-v0
MiniGrid-MultiRoom-N2-S4-v0,0.4225138872222223,0.19548611611111105,0.08311110899999996,0.13366666944444439,0.04099305444444443,0.021833333333333333,0.0
MiniGrid-MultiRoom-N4-S5-v0,-0.010166668722222228,0.06321528055555553,0.05227082911111111,0.005569443333333331,0.10694444222222221,0.03518749777777776,0.0331805561111111
MiniGrid-MultiRoom-N6-v0,-0.3416111073888889,-0.22813195111111106,-0.11111804922222224,-0.10954166855555554,-0.13584027444444446,-0.057020831111111094,-0.0331805561111111
