,MiniGrid-MultiRoom-N2-S4-v0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,MiniGrid-MultiRoom-N4-S5-v0,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,MiniGrid-MultiRoom-N6-v0
MiniGrid-MultiRoom-N2-S4-v0,0.40767823871296294,0.22710533009259248,0.10777314353703697,0.12552546542592588,0.09651272898148149,0.04488541555555556,0.01659027805555555
MiniGrid-MultiRoom-N4-S5-v0,-0.025655094453703717,0.01314699175925925,0.020474535314814808,-0.00047453790740740787,0.04728356398148148,0.012135415555555546,0.01659027805555555
MiniGrid-MultiRoom-N6-v0,-0.2186828685092593,-0.14559606879629627,-0.06717823746296296,-0.07362731624074072,-0.0760705999074074,-0.033968748888888886,-0.01659027805555555
