,MinAtar/Asterix-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/Seaquest-v0,MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,MinAtar/Freeway-v0,MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Seaquest-v0,MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/SpaceInvaders-v0
MinAtar/Asterix-v0,0.18767857142856118,-0.04666825396825651,-0.09098039215686242,-0.18576149425287036,-0.18967702821870006,-0.052000399680257575,0.2637992831541106,0.04527777777778161,-0.09664933564414167,-0.09848981481481657,-0.1633899999999952,-0.03123148148148105,-0.04587880291005408,0.33407315731572523,0.03926224105461596,-0.06593050468050762,-0.0719709314832685,-0.12774465811965052,-0.07880864197530586,-0.16987055016181152,-0.0521329365079353,-0.10797757285974838,-0.015400716529250165,-0.05065126248351428,-0.1327552171460803,-0.0714567430025464,-0.17742176511955737,-0.06740878938640163,-0.15182950191570257,-0.07555686172065532,-0.07049264150105002
MinAtar/Breakout-v0,-0.26814625850338636,-0.11701349206348735,-0.19114379084967614,-0.1880028735632174,-0.1777171516754856,-0.21481015187849312,-0.047143817204303905,-0.14265161153519773,-0.1956479876757219,-0.2070175925925935,-0.17997888888888539,-0.2248014403292277,-0.22455770502645536,-0.09245324532453633,-0.16447128060264393,-0.21279405779405958,0.030412902011401836,-0.20194337606837584,-0.21953909465020435,-0.18030744336569443,-0.2246031746031694,-0.11752333788706126,-0.14549249116608146,-0.17570072545695423,-0.20000705019740186,-0.22012086513994528,-0.2050588959212363,-0.22156163626313627,-0.264137931034482,-0.18495036572622373,-0.18159541594416093
MinAtar/Freeway-v0,-0.1251615646258458,-0.10810476190476578,-0.1256515522875847,-0.09225574712643245,-0.10517526455027085,-0.10552757793765336,-0.18525985663083075,-0.2759584393553699,-0.28704265357209513,-0.13070277777778375,-0.10906777777777797,-0.17217798353909688,-0.12748429232803626,-0.2790319031903342,-0.26853436911490247,-0.31318833943833935,0.03203573733462415,-0.08139850427349889,-0.11032098765432141,-0.0771655879180118,-0.13933531746031103,-0.09822688979964178,-0.21902262465646682,-0.204743342126743,-0.14608714043993223,-0.1624130619168734,-0.1704245780590702,-0.10261470425649813,-0.2973754789272022,-0.2566239986067524,-0.27064825930371267
MinAtar/Seaquest-v0,-0.07561507936508241,-0.09665238095238676,-0.18675245098039442,-0.16406609195402164,-0.16440145502644857,-0.22264388489208617,-0.12084453405018442,-0.18701653944020513,-0.21725399576351706,-0.18106388888888908,-0.15471222222221587,-0.20392695473252087,-0.20872602513227925,-0.14965896589658295,-0.1605258945386024,-0.2407651607651569,0.024722894482092958,-0.17863141025641918,-0.18859259259259267,-0.158530204962245,-0.20573743386242985,-0.1339167805100274,-0.18140729289360372,-0.16976830915142363,-0.19194867456288786,-0.1947497879558868,-0.1615813994374093,-0.21660033167496917,0.23246168582375704,-0.19318355973528917,-0.21454192788225912
MinAtar/SpaceInvaders-v0,-0.1432454648525952,-0.1566047619047537,-0.19444240196078685,-0.16999521072796908,-0.18508046737213066,-0.18050759392486007,-0.2809587813620161,0.015437871077184744,0.23174706335451806,-0.1793416666666698,-0.16820111111110972,-0.08502777777778214,-0.21739004629629594,-0.2439246424642351,-0.05488088512241149,0.25555911680912125,-0.1149001021834914,-0.15604594017094375,-0.1973271604938251,-0.08188511326860524,-0.19111276455026818,-0.25140881147542327,-0.16335173733804415,0.022762781860436697,-0.18448956570783803,-0.20990033927057078,-0.04471255274261846,-0.12687534549475363,-0.2163409961685784,-0.1135662661093718,-0.020729402872260026
