train_team,MinAtar/Asterix-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/Seaquest-v0,MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,MinAtar/Freeway-v0,MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Seaquest-v0,MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/SpaceInvaders-v0
MinAtar/Asterix-v0,0.008666666666666666,0.0126,0.0023333333333333335,0.00019999999999999998,0.0,0.003533333333333333,0.006599999999999999,0.006066666666666667,0.012533333333333332,0.002533333333333333,0.0002666666666666666,0.0032666666666666673,0.004333333333333334,0.006333333333333333,0.005266666666666667,0.010466666666666666,0.030799999999999998,0.0015999999999999999,0.002733333333333333,0.0002666666666666667,0.003933333333333333,0.0019333333333333331,0.007866666666666666,0.0346,0.0021333333333333334,0.0026,0.00019999999999999998,0.004266666666666667,0.00013333333333333334,0.0068000000000000005,0.037066666666666664
MinAtar/Asterix-v0+MinAtar/Breakout-v0,0.004533333333333333,0.010266666666666667,0.0003333333333333333,0.0006666666666666666,0.00013333333333333334,6.666666666666667e-05,0.004933333333333333,0.0033333333333333335,0.008733333333333334,0.0,0.0008666666666666666,0.0005333333333333334,0.0002666666666666666,0.0036000000000000003,0.0033333333333333335,0.005333333333333333,0.044000000000000004,0.0004,0.0006,0.0005333333333333334,0.00046666666666666666,0.005066666666666666,0.0051333333333333335,0.017666666666666667,0.0003333333333333333,0.0002666666666666667,0.00013333333333333334,0.0003333333333333333,6.666666666666667e-05,0.0002,0.0
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0,0.003933333333333333,0.010333333333333333,0.0,0.00013333333333333334,0.0,0.00013333333333333334,0.0051333333333333335,0.010866666666666665,0.017466666666666665,0.00013333333333333334,6.666666666666667e-05,0.00013333333333333334,6.666666666666667e-05,0.002933333333333333,0.010266666666666665,0.014333333333333332,0.044000000000000004,6.666666666666667e-05,6.666666666666667e-05,6.666666666666667e-05,6.666666666666667e-05,0.007533333333333334,0.024533333333333327,0.03793333333333334,0.0,0.0,0.0013333333333333333,0.00013333333333333334,0.0006666666666666666,0.019266666666666665,0.03333333333333333
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,0.004666666666666666,0.008133333333333334,6.666666666666667e-05,0.0,0.0,0.0,0.006266666666666667,0.0112,0.015600000000000001,0.0,0.0,0.0,6.666666666666667e-05,0.004266666666666666,0.009666666666666665,0.015466666666666665,0.02946666666666667,0.0,0.0,0.0,6.666666666666667e-05,0.009733333333333333,0.021400000000000002,0.028866666666666665,6.666666666666667e-05,0.0,0.0007999999999999999,0.0005333333333333333,0.0002666666666666667,0.019266666666666668,0.0244
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,0.005466666666666667,0.006266666666666667,0.00039999999999999996,0.0005333333333333333,0.0002666666666666667,0.00046666666666666666,0.0022,0.007866666666666666,0.019466666666666667,0.0013333333333333333,0.0010666666666666667,0.0006,0.0012,0.0016666666666666668,0.009,0.021400000000000002,0.0146,0.0008,0.0006666666666666666,0.0019333333333333331,0.0017333333333333333,0.0019333333333333331,0.012133333333333335,0.04726666666666667,0.0010666666666666667,0.0004,0.0028000000000000004,0.0012000000000000001,0.0008666666666666666,0.011933333333333332,0.050133333333333335
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,0.004866666666666666,0.007733333333333334,0.0002666666666666667,0.00013333333333333334,0.0002666666666666667,0.00013333333333333334,0.0022,0.002933333333333333,0.009666666666666665,6.666666666666667e-05,0.00013333333333333334,0.0004,0.0,0.0011333333333333334,0.0019333333333333336,0.009133333333333334,0.0292,0.00019999999999999998,0.00013333333333333334,0.00019999999999999998,0.0,0.002533333333333333,0.0037333333333333333,0.021266666666666666,0.0,6.666666666666667e-05,6.666666666666667e-05,0.0003333333333333333,0.0003333333333333333,0.0014,0.017266666666666666
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0+MinAtar/Seaquest-v0,0.005,0.011533333333333333,0.0015333333333333334,0.00039999999999999996,0.0014666666666666667,0.0014666666666666667,0.0034666666666666665,0.0024,0.0116,0.0030666666666666668,0.0016666666666666668,0.0020666666666666667,0.0023333333333333335,0.0020666666666666667,0.0020666666666666667,0.009066666666666667,0.04766666666666667,0.0010666666666666667,0.0019333333333333331,0.0026000000000000003,0.0012,0.0028666666666666667,0.003533333333333333,0.027,0.0014666666666666667,0.0019333333333333331,0.0029333333333333334,0.0022,0.0,0.0017333333333333333,0.022333333333333334
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0,0.005866666666666667,0.006733333333333334,0.0,0.0,0.0,6.666666666666667e-05,0.0012666666666666666,0.0018000000000000002,0.008733333333333334,0.0,0.00013333333333333334,0.00013333333333333334,0.0,0.0016666666666666668,0.0030666666666666668,0.009066666666666667,0.004933333333333334,0.0,6.666666666666667e-05,0.00019999999999999998,0.0,0.0005333333333333334,0.0012666666666666666,0.014866666666666667,6.666666666666667e-05,6.666666666666667e-05,0.0,0.00013333333333333334,0.0005333333333333334,0.0008666666666666666,0.016200000000000003
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/Freeway-v0,0.006266666666666667,0.012133333333333335,0.00039999999999999996,0.0007333333333333333,0.0006,0.0015999999999999999,0.0036000000000000003,0.0078000000000000005,0.0258,0.0008666666666666666,0.00039999999999999996,0.0016,0.0008666666666666666,0.0016,0.0082,0.024066666666666667,0.044000000000000004,0.0005333333333333334,0.0012666666666666666,0.0014,0.0009333333333333333,0.0029333333333333334,0.015266666666666664,0.0552,0.0015999999999999999,0.0012,0.0006,0.0010666666666666665,0.0005333333333333333,0.01,0.05126666666666666
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,0.0064,0.009266666666666666,0.0003333333333333333,6.666666666666667e-05,0.0,6.666666666666667e-05,0.002533333333333333,0.002733333333333333,0.009666666666666667,6.666666666666667e-05,6.666666666666667e-05,0.0005333333333333333,0.0,0.0022,0.002533333333333333,0.0078000000000000005,0.028800000000000003,6.666666666666667e-05,0.00013333333333333334,0.0005333333333333334,6.666666666666667e-05,0.0016666666666666668,0.0034000000000000002,0.018533333333333332,6.666666666666667e-05,0.0002,0.0,0.0002666666666666666,0.0005333333333333333,0.0008,0.0092
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,0.004533333333333333,0.009533333333333333,0.0,0.0,0.0,0.0,0.004333333333333333,0.010733333333333333,0.026333333333333334,0.0,0.0,0.0015999999999999999,0.0,0.0027333333333333337,0.007733333333333334,0.02673333333333333,0.04513333333333334,0.0,0.0,0.0028666666666666667,0.0,0.011933333333333332,0.01,0.03253333333333333,0.0,6.666666666666667e-05,0.0007333333333333333,0.0016,0.00046666666666666666,0.010400000000000001,0.0328
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0+MinAtar/Freeway-v0,0.0052,0.0094,0.0,0.0,6.666666666666667e-05,0.0,0.003999999999999999,0.0034000000000000002,0.0064,0.0,0.0,6.666666666666667e-05,0.0,0.0026666666666666666,0.0036666666666666666,0.0038,0.0294,0.0,0.0,0.0,0.0,0.004066666666666666,0.0036666666666666666,0.008066666666666668,0.0,0.00019999999999999998,0.00013333333333333334,0.0,0.001,0.0011333333333333334,0.0
