,MinAtar/Asterix-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/Seaquest-v0,MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,MinAtar/Freeway-v0,MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Seaquest-v0,MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/SpaceInvaders-v0
MinAtar/Asterix-v0,0.0862244897959184,-0.009714285714285705,-0.014950980392156869,-0.019540229885057474,0.0014550264550264582,-0.022781774580335725,0.06491935483870967,-0.01450381679389312,-0.041681109185441934,-0.034,-0.02760000000000001,-0.006666666666666661,0.02162698412698412,0.07673267326732669,-0.00423728813559321,-0.03708791208791208,-0.028299451435947098,0.009999999999999986,-0.017037037037037028,-0.03009708737864077,0.0002976190476190493,-0.03927595628415303,-0.02114252061248528,-0.019596758997550392,-0.023096446700507617,0.003307888040712456,-0.01613924050632911,-0.007462686567164172,-0.03908045977011495,-0.014994775339602919,-0.02005468854208351
MinAtar/Breakout-v0,-0.08129251700680272,0.033952380952380956,-0.017647058823529422,-0.008735632183908042,-0.02407407407407406,-0.03321342925659472,0.02150537634408603,-0.047900763358778645,-0.021894858463315996,0.006333333333333328,-0.04093333333333335,-0.046419753086419775,-0.024702380952380955,-0.022772277227722765,-0.07406779661016948,-0.037515262515262514,0.11350435624394967,-0.030384615384615395,-0.024814814814814817,-0.04482200647249193,-0.027976190476190488,0.012636612021857918,-0.033775029446407555,-0.004079517618240062,-0.013620981387478859,-0.027099236641221377,-0.025421940928270062,-0.017744610281923708,-0.0235632183908046,-0.05049634273772204,-0.025683606776043748
MinAtar/Freeway-v0,-0.1340136054421768,-0.048047619047619075,0.0810049019607843,0.06321839080459771,0.07671957671957672,0.08333333333333333,-0.030107526881720418,-0.13346055979643762,-0.14243212016175613,0.05588888888888889,0.09146666666666667,-0.0025925925925926047,0.05426587301587301,-0.09026402640264024,-0.1284180790960452,-0.14972527472527467,0.0324620845434011,0.0769230769230769,0.040370370370370376,0.005016181229773471,0.0568452380952381,-0.004576502732240441,-0.09328621908127213,-0.08077068023365364,0.03240270727580374,0.05966921119592875,-0.011919831223628677,0.05928689883913768,-0.02356321839080459,-0.10057471264367812,-0.10177404295051352
MinAtar/Seaquest-v0,-0.028911564625850334,0.014428571428571424,0.04227941176470587,-0.009770114942528737,0.04537037037037039,-0.002757793764988011,-0.01102150537634409,-0.07576335877862597,-0.054390525707683414,0.009444444444444453,0.057066666666666675,-0.01148148148148148,0.0002976190476190484,-0.047524752475247525,-0.07627118644067794,-0.0770757020757021,0.09099709583736686,-0.016282051282051284,0.029753086419753088,0.03932038834951457,-0.0023809523809523872,-0.0038251366120218492,-0.05968786808009424,-0.032061428302242324,-0.004906937394247034,0.02137404580152672,-0.016877637130801686,0.003399668325041459,0.038505747126436785,-0.06509926854754441,-0.05635587568360676
MinAtar/SpaceInvaders-v0,-0.053571428571428555,-0.06719047619047622,-0.01544117647058824,-0.01333333333333333,-0.004894179894179902,0.008992805755395687,-0.08198924731182795,0.06374045801526719,0.0728480647024841,-0.028999999999999998,-0.025999999999999995,0.0417283950617284,-0.03174603174603174,-0.0739273927392739,0.03644067796610169,0.09007936507936506,-0.08668925459825749,0.003461538461538464,0.019382716049382707,0.06521035598705502,-0.03154761904761905,-0.03538251366120219,0.005948174322732635,0.011531938948558506,-0.004399323181049079,-0.01323155216284988,0.012447257383966244,-0.006384742951907137,-0.02471264367816092,0.009143155694879812,0.016773376017073502
