,SIPD/AlwaysCooperate-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/ExtortionateZD-Default-v0,SIPD/TitForTat-Default-v0,SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/WinStayLoseSwitch-Default-v0,SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0
SIPD/AlwaysCooperate-Default-v0,-0.1690000000000002,-0.4220000000000003,-0.4293333333333336,-0.10266666666666655,-0.2749999999999998,-0.11200000000000017,-0.12533333333333316,-0.1276666666666666,-0.21933333333333346,-0.38866666666666666,-0.15999999999999961,-0.07966666666666664,-0.15999999999999961,-0.13766666666666663,-0.18533333333333324,-0.0760000000000001,-0.41,-0.34866666666666657,-0.12699999999999992,-0.3800000000000003,-0.13833333333333334,-0.1333333333333333,-0.24566666666666684,-0.3953333333333336,-0.416,-0.15999999999999961,-0.12366666666666648,-0.15999999999999961,-0.10699999999999997,-0.24166666666666614,-0.2620000000000001
SIPD/AlwaysDefect-Default-v0,0.4160000000000001,0.32299999999999984,0.31066666666666654,0.32733333333333264,0.32,0.2630000000000002,0.29966666666666636,0.2423333333333334,0.33066666666666666,0.3063333333333329,0.21500000000000002,0.3203333333333337,0.21500000000000002,0.27233333333333365,0.2596666666666662,0.2989999999999998,0.3400000000000004,0.40133333333333365,0.3379999999999994,0.31999999999999995,0.2366666666666666,0.33166666666666667,0.2593333333333334,0.3546666666666669,0.33399999999999996,0.21500000000000002,0.3013333333333334,0.21500000000000002,0.1929999999999998,0.3533333333333328,0.31299999999999994
SIPD/TitForTat-Default-v0,-0.3840000000000001,-0.26033333333333336,-0.20933333333333326,-0.17266666666666663,-0.1899999999999999,-0.22366666666666632,-0.20033333333333336,-0.16100000000000006,-0.21599999999999983,-0.21366666666666656,-0.28500000000000003,-0.1796666666666667,-0.28500000000000003,-0.20099999999999998,-0.28699999999999987,-0.20099999999999993,-0.24666666666666656,-0.23533333333333337,-0.16200000000000006,-0.19999999999999976,-0.16333333333333314,-0.16833333333333333,-0.19066666666666657,-0.27199999999999996,-0.2726666666666667,-0.28500000000000003,-0.21533333333333302,-0.28500000000000003,-0.20699999999999982,-0.29999999999999977,-0.22699999999999987
SIPD/WinStayLoseSwitch-Default-v0,-0.39900000000000013,-0.03533333333333334,0.40400000000000014,-0.12599999999999986,0.019999999999999997,-0.25366666666666626,-0.15699999999999995,-0.1443333333333332,-0.1376666666666665,0.3130000000000001,-0.28500000000000003,-0.15800000000000025,-0.28500000000000003,-0.1743333333333332,-0.3486666666666668,-0.20099999999999987,0.053333333333333406,-0.3286666666666664,-0.08199999999999995,0.21,-0.2150000000000001,-0.11999999999999994,-0.15900000000000009,-0.11866666666666667,-0.0026666666666666874,-0.28500000000000003,-0.1586666666666667,-0.28500000000000003,-0.2069999999999999,-0.4733333333333332,-0.067
SIPD/ExtortionateZD-Default-v0,-0.023999999999999987,0.5146666666666665,0.4239999999999998,0.394,0.4250000000000001,0.20633333333333312,0.26300000000000023,0.19066666666666668,0.4223333333333332,0.42299999999999993,-0.28500000000000003,0.3969999999999999,-0.28500000000000003,0.2406666666666668,-0.13866666666666655,0.25900000000000034,0.46333333333333343,0.4713333333333332,0.39299999999999985,0.42999999999999994,0.17999999999999985,0.38999999999999996,0.3559999999999997,0.4713333333333331,0.41733333333333356,-0.28500000000000003,0.11633333333333348,-0.28500000000000003,-0.09200000000000003,0.20166666666666672,0.28300000000000014
