train_team,1,1+3,1+3+4,1+3+4+5,1+3+4+5+6,1+3+4+5+6+7,1+3+4+5+7,1+3+4+6,1+3+4+6+7,1+3+4+7,1+3+5,1+3+5+6,1+3+5+6+7,1+3+5+7,1+3+6,1+3+6+7,1+3+7,1+4,1+4+5,1+4+5+6,1+4+5+6+7,1+4+5+7,1+4+6,1+4+6+7,1+4+7,1+5,1+5+6,1+5+6+7,1+5+7,1+6,1+6+7,1+7,3,3+4,3+4+5,3+4+5+6,3+4+5+6+7,3+4+5+7,3+4+6,3+4+6+7,3+4+7,3+5,3+5+6,3+5+6+7,3+5+7,3+6,3+6+7,3+7,4,4+5,4+5+6,4+5+6+7,4+5+7,4+6,4+6+7,4+7,5,5+6,5+6+7,5+7,6,6+7,7
1,1.0,0.5,0.3333333432674408,0.25,0.20000000298023218,0.1666666716337204,0.20000000298023218,0.25,0.20000000298023218,0.25,0.3333333432674408,0.25,0.20000000298023218,0.25,0.3333333432674408,0.25,0.3333333432674408,0.5,0.3333333432674408,0.25,0.20000000298023218,0.25,0.3333333432674408,0.25,0.3333333432674408,0.5,0.3333333432674408,0.25,0.3333333432674408,0.5,0.3333333432674408,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1+3,0.9470000028610229,0.9472000122070312,0.6314666628837585,0.4736000061035156,0.3788800001144409,0.31573333144187926,0.3788800001144409,0.4736000061035156,0.3788800001144409,0.4736000061035156,0.6314666628837585,0.4736000061035156,0.3788800001144409,0.4736000061035156,0.6314666628837585,0.4736000061035156,0.6314666628837585,0.47350000143051146,0.31566667556762695,0.23675000071525573,0.18940000236034388,0.23675000071525573,0.31566667556762695,0.23675000071525573,0.31566667556762695,0.47350000143051146,0.31566667556762695,0.23675000071525573,0.31566667556762695,0.47350000143051146,0.31566667556762695,0.47350000143051146,0.9473999977111817,0.47369999885559083,0.31579999923706054,0.23684999942779536,0.1894800007343292,0.23684999942779536,0.31579999923706054,0.23684999942779536,0.31579999923706054,0.47369999885559083,0.31579999923706054,0.23684999942779536,0.31579999923706054,0.47369999885559083,0.31579999923706054,0.47369999885559083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1+3+4,0.9286000013351441,0.8497999906539917,0.83586665391922,0.6268999934196472,0.5015199959278107,0.41793332695961,0.5015199959278107,0.6268999934196472,0.5015199959278107,0.6268999934196472,0.56653333902359,0.42489999532699585,0.33991999626159664,0.42489999532699585,0.56653333902359,0.42489999532699585,0.56653333902359,0.8682999968528747,0.5788666605949402,0.43414999842643737,0.3473199963569641,0.43414999842643737,0.5788666605949402,0.43414999842643737,0.5788666605949402,0.46430000066757204,0.3095333337783813,0.23215000033378597,0.3095333337783813,0.46430000066757204,0.3095333337783813,0.46430000066757204,0.7710000038146972,0.7895000100135803,0.5263333201408387,0.39475000500679014,0.3157999992370605,0.39475000500679014,0.5263333201408387,0.39475000500679014,0.5263333201408387,0.38550000190734857,0.256999996304512,0.19275000095367428,0.256999996304512,0.38550000190734857,0.256999996304512,0.38550000190734857,0.8080000042915344,0.4040000021457672,0.26933333873748777,0.20200000107288357,0.26933333873748777,0.4040000021457672,0.26933333873748777,0.4040000021457672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1+3+4+5,0.9092000007629395,0.7373999953269958,0.7390666723251342,0.7034999966621399,0.5628000140190125,0.4689999997615814,0.5628000140190125,0.5542999982833863,0.4434400022029877,0.5542999982833863,0.6905333280563355,0.517900002002716,0.41431999802589414,0.517900002002716,0.4916000008583069,0.36869999766349787,0.4916000008583069,0.8258000135421752,0.7494666695594787,0.5621000051498413,0.44968000054359436,0.5621000051498413,0.5505333185195923,0.4129000067710876,0.5505333185195923,0.752999997138977,0.5019999921321869,0.37649999856948846,0.5019999921321869,0.45460000038146975,0.3030666708946228,0.45460000038146975,0.5655999898910522,0.6539999961853027,0.634933340549469,0.47619999647140504,0.3809600055217742,0.47619999647140504,0.4360000014305115,0.32699999809265134,0.4360000014305115,0.5812000036239624,0.3874666690826416,0.29060000181198115,0.3874666690826416,0.2827999949455261,0.18853333294391628,0.2827999949455261,0.7423999905586243,0.669599997997284,0.4464000046253204,0.334799998998642,0.4464000046253204,0.3711999952793121,0.24746667146682735,0.3711999952793121,0.5968000054359436,0.29840000271797174,0.198933333158493,0.29840000271797174,0.0,0.0,0.0
1+3+4+5+6,0.888599979877472,0.6860000014305114,0.6831999897956849,0.6640999913215637,0.6808799982070923,0.5674000024795532,0.5312799930572509,0.699400007724762,0.5595199942588807,0.5124000072479248,0.6595999956130981,0.6817000031471252,0.545360004901886,0.4947000026702881,0.7066666603088378,0.5299999952316284,0.45733333230018614,0.7830999970436097,0.7243333458900452,0.7302500009536743,0.5841999888420105,0.5432500004768371,0.771399998664856,0.5785499930381774,0.5220666766166687,0.7476999998092652,0.7478000044822692,0.5608500123023987,0.49846667647361753,0.8182999968528748,0.5455333232879639,0.444299989938736,0.4834000110626221,0.5805000066757202,0.5892666697502136,0.628950011730194,0.5031599938869477,0.4419499933719635,0.6363333225250244,0.4772499978542328,0.38700000047683714,0.5450999975204468,0.6127333283424378,0.45955000519752504,0.36339999437332154,0.6156999945640564,0.41046665906906127,0.241700005531311,0.6776000142097474,0.6421999931335449,0.6774666547775269,0.5080999970436096,0.4281333327293396,0.7128000020980835,0.47519999742507935,0.3388000071048736,0.6067999958992004,0.6773999810218811,0.4515999972820282,0.30339999794960015,0.7480000019073486,0.37400000095367425,0.0
1+3+4+5+6+7,0.8787999987602234,0.6781000018119812,0.6554000020027161,0.6247500061988831,0.64475998878479,0.6521666646003723,0.6376399874687195,0.6727499961853027,0.67603999376297,0.6638499975204468,0.6296666622161865,0.6534500002861023,0.6606000065803528,0.6445500016212463,0.693666672706604,0.692549979686737,0.6818000078201294,0.7443999886512757,0.6738666653633117,0.6866000056266784,0.687119996547699,0.6777000069618225,0.7378666639328003,0.7256999969482422,0.7260000109672546,0.7057999849319458,0.7121333360671998,0.7064000010490418,0.7002666592597961,0.8018000006675721,0.7642666697502136,0.7840000033378601,0.47739999890327456,0.5436999917030334,0.5400666713714599,0.5862499952316285,0.6068400025367737,0.5773499965667724,0.6040666699409485,0.62535001039505,0.5922000050544739,0.5050999999046326,0.5783333420753479,0.6060500144958496,0.5664666652679443,0.6011000037193298,0.6304666519165039,0.5833000063896179,0.6099999904632568,0.5713999986648559,0.6225333452224732,0.6391999959945679,0.6106666564941406,0.6674000024795532,0.6746666669845581,0.6496000051498413,0.5327999889850616,0.6288000106811523,0.6489333271980285,0.6110000014305115,0.7248000144958496,0.7069999933242798,0.6891999959945678
1+3+4+5+7,0.8824000000953675,0.708299994468689,0.687066650390625,0.6588999986648559,0.5271200060844421,0.5566666722297668,0.6679999947547912,0.5152999997138977,0.5531199932098388,0.6913999915122986,0.6636666655540466,0.49775001406669617,0.539079999923706,0.6738499879837037,0.4722000062465668,0.5302499890327453,0.7070000052452088,0.7635000109672546,0.7004666686058044,0.5253499984741211,0.5611600041389465,0.7014500021934509,0.5090000033378601,0.5578500032424927,0.7437999963760376,0.7284000039100647,0.4856000065803528,0.5403000116348267,0.7203999996185303,0.4412000000476837,0.528933334350586,0.7934000015258789,0.5342000007629395,0.5894000053405761,0.5844000101089477,0.4383000016212463,0.49151999354362486,0.6143999934196472,0.3929333329200745,0.47080000042915343,0.627733337879181,0.5543000102043152,0.3695333302021026,0.4532500088214874,0.6043333292007447,0.2671000003814697,0.41286666989326476,0.6193000078201294,0.644599997997284,0.6095000028610229,0.406333327293396,0.4808499991893768,0.6411333322525025,0.3222999989986419,0.4496666669845581,0.6745000004768371,0.574400007724762,0.287200003862381,0.4262666702270508,0.6394000053405762,0.0,0.35220000147819513,0.7044000029563904
1+3+4+6,0.8886000037193298,0.7883999943733215,0.776800000667572,0.5825999975204468,0.621999990940094,0.5183333396911621,0.4660800039768219,0.7774999976158142,0.621999990940094,0.5825999975204468,0.525600016117096,0.5891000032424927,0.47128000259399416,0.39419999718666077,0.7854666709899902,0.5891000032424927,0.525600016117096,0.8211000084877014,0.5473999977111816,0.6054499983787537,0.48436000347137453,0.4105500042438507,0.8072666525840759,0.6054499983787537,0.5473999977111816,0.4443000018596649,0.5560666680335998,0.41705000400543213,0.29620000123977663,0.8341000080108643,0.5560666680335998,0.4443000018596649,0.6881999969482422,0.7208999991416931,0.4805999994277954,0.5553500056266785,0.44428000450134275,0.3604499995708465,0.7404666543006897,0.5553500056266785,0.4805999994277954,0.3440999984741211,0.4892666697502136,0.366949999332428,0.2293999999761581,0.733899998664856,0.4892666697502136,0.3440999984741211,0.7535999894142151,0.37679999470710757,0.5110666573047637,0.3833000004291534,0.25119999945163723,0.7666000008583069,0.5110666573047637,0.37679999470710757,0.0,0.38980000019073485,0.25986666083335874,0.0,0.7796000003814697,0.38980000019073485,0.0
1+3+4+6+7,0.8942000031471252,0.7625999927520752,0.7255333304405213,0.5441499948501587,0.5857999920845032,0.6106666803359986,0.5823200106620788,0.7322500109672546,0.732800018787384,0.7278999924659729,0.5083999991416931,0.5694000005722046,0.6025199890136719,0.5650499939918519,0.7592000007629395,0.7531499981880188,0.7534000039100647,0.7727999925613404,0.5152000188827515,0.5745000004768371,0.606599998474121,0.5701500058174134,0.7660000085830688,0.7582499980926514,0.7601999878883362,0.4471000015735626,0.5488666772842408,0.5953999876976013,0.5430666685104371,0.8232999920845032,0.7938666701316833,0.8145999908447266,0.6310000061988831,0.6412000060081482,0.42746666073799133,0.5086999952793121,0.5539600133895874,0.5043500006198883,0.6782666683197022,0.6924499988555908,0.6724666714668274,0.3155000030994415,0.4611333250999451,0.5295999884605408,0.4553333282470703,0.69170001745224,0.7061333179473877,0.6829999923706055,0.6514000058174133,0.3257000029087066,0.46793333292007444,0.5346999883651733,0.46213333010673524,0.7019000053405762,0.7129333257675171,0.6931999921798706,0.0,0.376199996471405,0.49579999446868894,0.3675000071525574,0.75239999294281,0.7437000036239624,0.7350000143051147
1+3+4+7,0.9064000129699707,0.8129999995231628,0.7818666577339173,0.5863999962806702,0.46911999583244324,0.5137666821479797,0.6165199995040893,0.5863999962806702,0.6165199995040893,0.7706499814987182,0.5419999957084656,0.4064999997615814,0.472599995136261,0.590750002861023,0.5419999957084656,0.590750002861023,0.787666666507721,0.8129999876022339,0.5419999957084656,0.40649999380111695,0.47260000705718996,0.590750002861023,0.5419999957084656,0.590750002861023,0.7876666784286499,0.4532000064849854,0.3021333277225494,0.41085000038146974,0.5478000044822693,0.4532000064849854,0.5478000044822693,0.8217000007629395,0.7195999979972839,0.7196000099182129,0.4797333300113678,0.3598000049591064,0.4352400004863739,0.5440499901771545,0.4797333300113678,0.5440499901771545,0.7254000067710876,0.35979999899864196,0.23986667096614833,0.36414999961853023,0.48553332686424255,0.35979999899864196,0.48553332686424255,0.7282999992370606,0.7195999979972839,0.3597999989986419,0.2398666679859161,0.3641500055789947,0.485533332824707,0.3597999989986419,0.485533332824707,0.7283000111579895,0.0,0.0,0.24566666781902308,0.36850000023841856,0.0,0.36850000023841856,0.7370000004768371
