,MinAtar/Asterix-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/Seaquest-v0,MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,MinAtar/Freeway-v0,MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Seaquest-v0,MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/SpaceInvaders-v0
MinAtar/Asterix-v0,-0.09480248449525483,-0.08953033425323904,0.019692748817297455,0.05547602870232026,-0.03558316250083779,0.06671812206449332,0.028361884547296407,0.12152603797108634,0.3414400260464937,-0.09520136722642486,0.1715638659972154,-0.09469665916142062,-0.17188147660365025,-0.013237579067468619,0.04391841008624125,0.17347020075952144,-0.039300071222470416,-0.017861451323823364,-0.11841983847218712,-0.0730273952740688,-0.09868173659836277,-0.1013970799150773,-0.13027442438659498,-0.09039724164951425,-0.021751642705399924,-0.1416986030493983,-0.10292353009206902,0.009312459443671867,0.0330020588413773,0.17663991621078298,-0.01725166478400161
MinAtar/Breakout-v0,-0.032359926659943354,0.032662434467978105,-0.019493310777641774,-0.005083377711484783,0.3307018881295179,0.04058408558501003,0.004817365462129964,0.04439489229665151,0.349095623349516,-0.03256963877599979,0.05789727196437366,-0.044438855433874894,-0.3687199019919253,-0.01972852912945932,0.18271684860694112,0.18482824270506382,-0.061602193787301335,-0.06330693401074942,-0.11124192199803676,-0.13302621784620952,-0.0716982916009783,-0.1048969693227188,-0.10934932476872913,-0.11802946355923381,0.05183661874413318,-0.11424306880839073,-0.043114592443598374,-0.026821943568727656,0.03638408158992223,0.11234153748597943,-0.02778964303109851
MinAtar/Freeway-v0,0.4882141332666709,0.2701491689521472,0.19361443774312526,-0.0895644615435381,-0.31633299420099575,0.31820336716970726,0.2602405109563747,0.1856373383923,0.7494838305256761,-0.4191603530765668,-0.1438149213725222,-0.37208970837666117,-0.40202172734379193,0.10940380962418077,0.16447213668614014,0.6578447339541017,-0.05517325019241104,0.01054587140171192,-0.254616015773192,-0.2704812257490764,-0.1497793360901946,-0.10913360075693058,-0.20256764372585245,-0.06812748011209317,0.05183661874413318,-0.1862652373703739,-0.2287569908630526,0.08127551524064296,0.12033505729139164,0.22822199554453387,0.04393958293085863
MinAtar/Seaquest-v0,-0.009689325997869,-0.22467048681141288,0.06734787360323556,0.098621561592631,0.06254818213267765,0.10774932101053276,0.16421123395166848,0.1646463658854622,-0.227338965966826,-0.12576697452339194,0.03691995623237862,-0.17531853913893033,-0.2682805818403587,0.11121755459544858,0.006556279216706572,-0.14591570831553732,0.38160427003424485,0.169012551643193,0.6856254641728936,0.7227583718442582,0.5481605101867552,0.5854824386277857,0.4678727150054429,0.4919760040995013,0.05183661874413318,0.4934279895026683,0.6918117278790812,0.08127551524064296,0.007537348461488068,0.05026071247042488,0.2001836073760286
MinAtar/SpaceInvaders-v0,0.13276087985534568,0.054164378807327045,-0.009583681687509546,-0.08236624017361295,-0.10349983964218601,-0.03443412861717288,-0.02493155568769006,-0.09602014067288712,-0.27759461628601523,-0.10346331205059738,0.030927024447382316,-0.0666867905517188,-0.14646951723967655,0.036811781662559155,-0.1107061763758062,-0.11815286723901036,0.15854338136770665,0.20016244704308347,0.369791697585676,0.41986955260008024,0.24709977533511573,0.09509450260633837,0.43455374234175453,0.1367273253238102,0.011581690627933409,0.3731626803830638,0.20113521179191576,0.042276054487590836,0.044314837437080826,-0.11846168281767266,0.05961347900628343
