,MinAtar/Asterix-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/Seaquest-v0,MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,MinAtar/Freeway-v0,MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Seaquest-v0,MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/SpaceInvaders-v0
MinAtar/Asterix-v0,0.17010309278350516,0.1384090909090909,-0.5669781931464176,-0.6490591397849459,0.24429223744292236,-0.4466666666666668,0.1699261992619927,0.14066130473637178,0.27113333333333345,-0.26922290388548065,0.6074074074074074,0.48527131782945765,-0.5742028985507247,0.15760233918128652,0.09695652173913044,0.27838792549775204,0.1312857573020176,-0.48970037453183485,0.15487179487179478,0.32063492063492055,-0.5179047619047614,0.1532467532467533,0.05545171339563861,0.27848794740686633,-0.4285123966942148,0.14393939393939392,0.5077294685990337,-0.4578703703703705,0.07121212121212123,0.03655405405405406,0.3414665866346538
MinAtar/Breakout-v0,-0.12259450171821304,0.1445454545454544,-0.028816199376946974,0.04583333333333335,-0.2479452054794522,0.2425000000000001,-0.06119311193111932,-0.029088471849865943,0.1323333333333333,0.043967280163599194,-0.06592592592592604,0.21453488372093032,0.007681159420289836,-0.03823099415204675,-0.02887681159420292,0.05789980732177263,0.28702198133092444,0.18782771535580517,-0.13589743589743597,-0.06388888888888886,0.025428571428571453,0.014610389610389631,-0.01824655095683133,0.22190163136109067,-0.018870523415977974,-0.23686868686868684,0.09637681159420292,0.01805555555555555,-0.10909090909090913,-0.029414414414414412,0.15033013205282114
MinAtar/Freeway-v0,-0.3146048109965637,-0.19621212121212128,0.10202492211838006,0.11680107526881724,0.1936073059360732,0.2760416666666667,-0.19243542435424354,-0.20983020554066134,-0.4742333333333335,0.21411042944785275,0.47222222222222243,0.06434108527131785,0.2044927536231883,-0.1889619883040936,-0.1502898550724638,-0.4946692357096981,-0.0698283649503162,0.18061797752808992,0.10743589743589743,-0.15476190476190474,0.14142857142857143,-0.12077922077922082,-0.14227859368046278,-0.27948624299975655,0.19752066115702482,0.1015151515151515,0.3625603864734299,0.19988425925925932,-0.08030303030303032,-0.1364414414414414,-0.3805522208883554
MinAtar/Seaquest-v0,-0.004381443298969083,0.039545454545454446,0.20171339563862933,0.14005376344086018,0.06164383561643836,0.32458333333333333,-0.16826568265682665,-0.21032171581769438,-0.20573333333333338,0.23588957055214718,0.4607407407407409,0.24631782945736444,0.2210144927536232,-0.2029970760233917,-0.2497101449275364,-0.2184007707129095,0.014528756398675105,0.16947565543071166,-0.013846153846153855,0.07579365079365079,0.13457142857142854,-0.25173160173160186,-0.2180462839341344,-0.22539566593620647,0.1918732782369146,-0.07525252525252524,0.2876811594202899,0.2640046296296295,-0.33409090909090916,-0.22657657657657648,-0.3061524609843938
MinAtar/SpaceInvaders-v0,0.012886597938144277,-0.0262878787878788,0.03629283489096572,-0.015188172043010713,0.00958904109589042,0.08062500000000006,-0.01998769987699877,-0.014655942806076856,-0.10056666666666673,0.06196319018404907,0.1433333333333334,0.24186046511627915,0.02652173913043479,-0.006798245614035096,-0.01358695652173911,-0.15815671162491973,-0.04202047576031308,0.10514981273408235,-0.07923076923076926,-0.03015873015873012,0.034571428571428586,-0.045995670995671006,-0.007676902536715646,-0.23315071828585343,0.0723140495867769,-0.1666666666666666,0.35,0.1312500000000001,0.04015151515151515,-0.003581081081081083,-0.321578631452581
