,SIPD/AlwaysCooperate-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/ExtortionateZD-Default-v0,SIPD/TitForTat-Default-v0,SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/WinStayLoseSwitch-Default-v0,SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0
SIPD/AlwaysCooperate-Default-v0,-0.11166666666666665,-0.016666666666666673,0.04261904761904763,0.03566666666666666,0.021190476190476187,0.021969696969696976,0.023290598290598263,0.03880952380952378,0.037083333333333246,0.0057692307692308,-0.03766666666666664,0.008809523809523795,0.0046875,0.023290598290598263,0.006111111111111108,0.06145833333333326,0.03402777777777774,0.036965811965812,0.011,0.008809523809523795,0.0046875,0.023290598290598263,0.03708333333333335,0.06145833333333326,0.04100000000000004,-0.011666666666666685,0.022435897435897422,0.02329059829059828,0.06145833333333326,0.058680555555555534,0.0590425531914893
SIPD/AlwaysDefect-Default-v0,-0.19766666666666674,-0.2687499999999999,-0.33547619047619026,-0.35499999999999976,-0.3178571428571427,-0.25479797979797986,-0.2852564102564101,-0.2573809523809523,-0.29458333333333314,-0.28739316239316215,-0.2630000000000001,-0.29880952380952364,-0.2421875,-0.2852564102564101,-0.24833333333333324,-0.2385416666666668,-0.3388888888888889,-0.3305555555555554,-0.33033333333333337,-0.29880952380952364,-0.2421875,-0.2852564102564101,-0.22625000000000017,-0.2385416666666668,-0.3286666666666663,-0.3036666666666666,-0.31346153846153824,-0.21517094017094018,-0.2385416666666668,-0.18159722222222216,-0.2671985815602835
SIPD/TitForTat-Default-v0,-0.2589999999999999,-0.015277777777777822,0.14690476190476193,0.12033333333333339,0.11119047619047621,0.09318181818181817,0.10961538461538467,0.1316666666666667,0.14500000000000002,0.04465811965811966,-0.11500000000000002,0.060238095238095216,0.0484375,0.10961538461538467,0.01833333333333332,0.1357638888888888,0.1666666666666666,0.15662393162393162,0.05966666666666667,0.060238095238095216,0.0484375,0.10961538461538467,0.12499999999999997,0.1357638888888888,0.15433333333333338,-0.000999999999999999,0.11773504273504276,0.08910256410256408,0.1357638888888888,0.1246527777777778,0.15088652482269505
SIPD/WinStayLoseSwitch-Default-v0,-0.229,0.03819444444444446,0.19404761904761897,0.20433333333333328,0.17214285714285713,0.251767676767677,0.19252136752136734,0.25976190476190486,0.2091666666666665,0.08012820512820508,-0.002333333333333339,0.14785714285714288,0.2328125,0.19252136752136734,0.20611111111111097,0.2079861111111111,0.22152777777777782,0.1929487179487179,0.17366666666666658,0.14785714285714288,0.2328125,0.19252136752136734,0.26666666666666683,0.2079861111111111,0.18133333333333326,0.1396666666666667,0.17115384615384613,0.25149572649572655,0.2079861111111111,0.2559027777777776,0.19450354609929077
SIPD/ExtortionateZD-Default-v0,-0.12366666666666674,-0.2333333333333333,-0.30023809523809514,-0.2996666666666665,-0.28119047619047616,-0.2527777777777779,-0.25961538461538447,-0.2492857142857141,-0.2675,-0.22670940170940154,-0.207,-0.2721428571428572,-0.24270833333333333,-0.25961538461538447,-0.24499999999999988,-0.23888888888888885,-0.3131944444444444,-0.27585470085470076,-0.2836666666666665,-0.2721428571428572,-0.24270833333333333,-0.25961538461538447,-0.22958333333333333,-0.23888888888888885,-0.27566666666666667,-0.2603333333333332,-0.26089743589743575,-0.2207264957264955,-0.23888888888888885,-0.20173611111111112,-0.2395390070921987
