,SIPD/AlwaysCooperate-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/ExtortionateZD-Default-v0,SIPD/TitForTat-Default-v0,SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/WinStayLoseSwitch-Default-v0,SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0
SIPD/AlwaysCooperate-Default-v0,0.02762909549079757,-0.026218774724093907,-0.04702991452991453,0.057847433889987074,0.027397021713511056,0.030277802280461834,0.05123624011921884,0.034445529352444236,0.039072124388613745,-0.026159965034965,-0.03333333333333333,0.07188081569730506,-0.03731587561374795,0.017109946790797848,-0.025041019559636595,0.05123624011921884,-0.027437010389138053,0.0016320783235676789,0.062473098414587806,-0.024829796680860515,0.03282588215566939,0.05434146763402082,0.014292359531721222,-0.009559964267411084,-0.018379681783937105,-0.035324604473540626,0.014567011593607326,-0.03333333333333333,-0.008463269000503069,0.006867725359746634,-0.0005898182786480794
SIPD/AlwaysDefect-Default-v0,0.0989004630121651,0.09285173809641906,0.06912393162393161,0.06154615183870503,0.08255727812376748,0.022638913391572958,0.042208462341441065,0.001909204566119456,0.08178366285015219,0.0646797785547786,-0.03333333333333333,0.06146414903063839,-0.03037143116930354,0.015026613457464515,0.00485641633779928,0.042208462341441065,0.09288350243137482,0.12445259114408043,0.06413976508125448,0.07017661357554975,-0.002627109297322064,0.06220685224940541,0.03724535098471267,0.11284388188643507,0.10194083103657577,-0.03185238225131842,0.02451572954232528,-0.03333333333333333,-0.041138482675716743,0.0826711441631654,0.05679266035383056
SIPD/TitForTat-Default-v0,-0.09471064809894608,0.06392591392059477,0.04324664224664224,0.08335567564822886,0.10618365175014113,0.038070842573502094,0.060077815210793896,0.09605908246599731,0.05772780204429143,0.010810730935730909,-0.03333333333333336,0.08241195122844061,-0.04148254228041464,0.06635811528896626,-0.011894499413116466,0.060077815210793896,-0.09411100306313075,-0.10749795830646891,0.08625514969663908,0.015565807714743859,0.09113357446336161,0.08323798778054102,0.05168338517274681,-0.028116740824187674,-0.08505367445792976,-0.03740793780687399,0.03461279913939485,-0.03333333333333336,0.04646530242806834,-0.009414325922304706,-0.01403853622736608
SIPD/WinStayLoseSwitch-Default-v0,-0.1391467988276499,-0.07496435833669877,0.1339572649572649,-0.13937287889415537,-0.061225796071540696,-0.11920013851396821,-0.13855213049361975,-0.07242208618804359,-0.13514165798740252,0.07345618270618273,-0.0333333333333333,-0.16593003627578082,-0.04191898527004905,-0.0801088916993172,-0.07947199077518224,-0.13855213049361975,0.00026683186789573654,-0.09228454288028758,-0.1366999330456776,0.03868512811066001,-0.08950043691533048,-0.15641516993644636,-0.06302084676552756,-0.07587185214312875,-0.007386832434704738,-0.03762615930169118,-0.08890989329819109,-0.0333333333333333,-0.03474462535100828,-0.17905559511410563,-0.04380773127581632
SIPD/ExtortionateZD-Default-v0,0.059944526513675406,0.2558655062431659,0.06842612942612943,0.09542052214924553,0.09851411679337217,0.13045707926824945,0.102761278319789,0.05586441897346156,0.1712944753237307,0.08026333388833393,-0.0333333333333333,0.13667326320251855,-0.034226677577741366,0.12428227269184715,0.051117072938881535,0.102761278319789,0.16891984552090933,0.2322858866901419,0.06621576237001767,0.08639242081795269,0.08218010476521112,0.14483663381535727,0.2000549663102855,0.26373326496198846,0.16473840344053112,-0.03378000545553733,0.027149880261582403,-0.0333333333333333,0.014356134999752012,0.2242790563455459,0.06589236029927517
