train_team,SIPD/AlwaysCooperate-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/ExtortionateZD-Default-v0,SIPD/TitForTat-Default-v0,SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/WinStayLoseSwitch-Default-v0,SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0
SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0,0.0,0.0048000000000000004,0.005,0.003,0.0,0.0,0.003,0.005,0.001,0.0078000000000000005,0.002,0.004,0.004,0.003,0.003,0.003,0.0048000000000000004,0.0078,0.002,0.006,0.006,0.005,0.003,0.005,0.01,0.003,0.0088,0.004,0.004,0.005,0.0098
SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,-0.005,0.0,-0.002,-0.002,-0.007,-0.005,-0.004,0.0,-0.006,0.0,-0.003,-0.003,-0.001,-0.004,-0.002,-0.004,0.0,0.0,-0.003,-0.001,0.001,-0.002,-0.002,-0.002,0.0,-0.002,0.001,-0.001,-0.003,0.0,0.002
SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,0.0,0.0044,0.005,0.003,0.0,0.0,0.003,0.005,0.001,0.0073999999999999995,0.002,0.004,0.004,0.003,0.003,0.003,0.0044,0.0074,0.002,0.006,0.006,0.005,0.003,0.005,0.01,0.003,0.0084,0.004,0.004,0.005,0.009399999999999999
SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,-0.0028000000000000004,0.0018,0.0002000000000000001,0.0,-0.005,-0.0036,-0.0022,0.0016,-0.004,0.0024000000000000002,-0.0012,-0.0012000000000000001,0.0002000000000000001,-0.0022,-0.0006000000000000001,-0.0024000000000000002,0.0018,0.0024,-0.0012000000000000001,0.0008,0.0022,-0.0002,-0.0006000000000000001,-0.0004,0.0028000000000000004,-0.00039999999999999996,0.0032,0.0002000000000000001,-0.0014,0.001,0.004
SIPD/AlwaysCooperate-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,0.0,0.004,0.0036,0.002,-0.0012,-0.00039999999999999975,0.0018,0.0044,-0.00019999999999999987,0.0068000000000000005,0.0015999999999999999,0.0028,0.0036,0.0018,0.003,0.002,0.0036,0.0064,0.0011999999999999997,0.0048000000000000004,0.0056,0.0038,0.0026000000000000003,0.004,0.008400000000000001,0.0022000000000000006,0.0074,0.0036,0.003,0.0048000000000000004,0.0086
SIPD/AlwaysCooperate-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,-0.004,0.001,-0.0006000000000000003,-0.001,-0.005600000000000001,-0.004,-0.0026,0.001,-0.0046,0.0016,-0.002,-0.0016,0.0,-0.0026,-0.001,-0.0026,0.001,0.0015999999999999999,-0.002,0.00039999999999999996,0.002,-0.0006000000000000001,-0.001,-0.0006000000000000001,0.002,-0.001,0.0026,0.0,-0.0016,0.001,0.0036
SIPD/AlwaysDefect-Default-v0,0.0,0.002,-0.002,-0.0016000000000000003,-0.006,-0.0048000000000000004,-0.0032,-0.0007999999999999999,-0.006200000000000001,0.002,0.0004000000000000002,-0.001,0.0002000000000000001,-0.0032,-0.001,-0.0054,0.0,0.0,-0.0016,0.001,0.0022,-0.0012000000000000001,-0.003,-0.0034000000000000002,0.0,0.0004000000000000002,0.002,-0.001,-0.0044,-0.0021999999999999997,0.0007999999999999995
SIPD/AlwaysDefect-Default-v0+SIPD/ExtortionateZD-Default-v0,0.0,0.002,-0.002,-0.001,-0.006,-0.004,-0.0026,0.0,-0.0058,0.002,0.001,-0.0008,0.0011999999999999997,-0.0026,0.00019999999999999966,-0.0038000000000000004,0.0,0.0,-0.001,0.0012000000000000001,0.0031999999999999997,-0.0006000000000000001,-0.0018000000000000002,-0.0018000000000000002,0.0,0.0012000000000000001,0.0021999999999999997,0.00039999999999999996,-0.0028000000000000004,0.0002,0.002
SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0,-0.0042,0.0,-0.002,-0.002,-0.007,-0.005600000000000001,-0.004,-0.0006000000000000003,-0.006,0.0,-0.003,-0.003,-0.0016,-0.004,-0.0026,-0.004,0.0,0.0,-0.003,-0.001,0.00039999999999999996,-0.002,-0.0026000000000000003,-0.002,0.0,-0.002,0.001,-0.0016,-0.003,-0.0006000000000000001,0.002
SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,-0.0007999999999999995,0.0016,-0.002,-0.002,-0.0066,-0.006,-0.0042,-0.0013999999999999993,-0.0066,0.0016,-0.001,-0.0022,-0.0016,-0.0042,-0.0024000000000000002,-0.006,0.0,0.0,-0.0026,-0.0002000000000000001,0.00039999999999999996,-0.0021999999999999997,-0.004,-0.004,0.0,-0.0012000000000000001,0.0013999999999999998,-0.0026,-0.005,-0.0034000000000000002,0.0006000000000000007
SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,-0.004,0.0016,0.00039999999999999975,-0.00039999999999999996,-0.0048000000000000004,-0.0036,-0.0022,0.0016,-0.0038000000000000004,0.0022,-0.002,-0.0012000000000000001,0.0,-0.0022,-0.001,-0.0022,0.002,0.0026,-0.0016,0.0008,0.002,-0.0002,-0.0006000000000000001,-0.0002,0.003,-0.001,0.0032,0.0,-0.0012000000000000001,0.001,0.0042
