,MiniGrid-MultiRoom-N2-S4-v0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,MiniGrid-MultiRoom-N4-S5-v0,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,MiniGrid-MultiRoom-N6-v0
MiniGrid-MultiRoom-N2-S4-v0,0.31159166633333335,0.21890833966666667,0.09891249866666665,0.09878333446666666,0.128558336,0.055079167133333336,0.0
MiniGrid-MultiRoom-N4-S5-v0,-0.1831083326666667,-0.11265417033333332,-0.05293749933333332,-0.053491667933333334,-0.064279168,-0.031583333266666666,0.0
MiniGrid-MultiRoom-N6-v0,-0.12423333366666667,-0.10625416933333333,-0.04597499933333333,-0.04529166653333333,-0.064279168,-0.023495833866666666,0.0
