,MiniGrid-MultiRoom-N2-S4-v0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,MiniGrid-MultiRoom-N4-S5-v0,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,MiniGrid-MultiRoom-N6-v0
MiniGrid-MultiRoom-N2-S4-v0,-0.39935000033333334,-0.031724999666666615,-0.0014166666666666668,-0.07090833353333333,0.0,0.0,-0.004183333333333333
MiniGrid-MultiRoom-N4-S5-v0,-0.12498750333333333,0.008674999333333332,0.0007083333333333334,0.022204166466666682,0.0,0.0,0.0020916666666666666
MiniGrid-MultiRoom-N6-v0,0.24961250766666668,0.008000000333333283,0.0007083333333333334,0.01972916706666663,0.0,0.0,0.0020916666666666666
