,player,is_rational,rational_value,coalition,coalition_value
0,MinAtar/Asterix-v0,True,-0.0010399999999999993,MinAtar/Asterix-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,0.01224
1,MinAtar/Breakout-v0,True,-0.0010399999999999993,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0,0.04428
2,MinAtar/Freeway-v0,True,-0.00484,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,0.00484
3,MinAtar/Seaquest-v0,False,0.0,MinAtar/Seaquest-v0,0.0008799999999999
4,MinAtar/SpaceInvaders-v0,True,-0.06664,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,0.06664
5,MinAtar/SpaceInvaders-v0,True,-0.06664,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,0.06664
