train_team,2,2+3,2+3+4,2+3+4+5,2+3+4+5+7,2+3+4+7,2+3+5,2+3+5+7,2+3+7,2+4,2+4+5,2+4+5+7,2+4+7,2+5,2+5+7,2+7,3,3+4,3+4+5,3+4+5+7,3+4+7,3+5,3+5+7,3+7,4,4+5,4+5+7,4+7,5,5+7,7
2,1.0,0.5053868889808655,0.341269850730896,0.2635342180728912,0.2087378650903701,0.2546890377998352,0.3517382442951202,0.2604745030403137,0.3361563384532928,0.5124130845069885,0.3551273345947265,0.2623284161090851,0.3392505049705505,0.5363825559616089,0.3495934903621673,0.5009709000587463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2+3,0.9996124029159545,0.998726749420166,0.674404752254486,0.5208375811576843,0.4124999940395355,0.5033069968223571,0.6949557065963745,0.5147905111312866,0.6642996668815613,0.5121151804924011,0.35498968362808225,0.2623284161090851,0.339119005203247,0.5362786054611206,0.34939024448394773,0.5006796240806579,0.998019814491272,0.5057228922843933,0.3493065237998962,0.25751534104347223,0.3337748348712921,0.5297581434249878,0.3439590513706207,0.49430814385414124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2+3+4,0.9974806189537049,0.9978452563285828,0.9980820178985595,0.7710418820381164,0.6102750897407532,0.7446692943572998,0.694137704372406,0.5142352342605591,0.6638436317443848,0.9974180698394776,0.6915347695350647,0.5103711247444153,0.660092043876648,0.5354470014572144,0.34871273636817934,0.49922329783439634,0.9976237773895263,0.9982931733131408,0.6893203854560852,0.5086400866508484,0.6582781314849854,0.5299684524536132,0.3439590513706207,0.49411187171936033,0.9985743522644043,0.5230522990226746,0.3379738092422485,0.48786069750785827,0.0,0.0,0.0
2+3+4+5,0.9961240291595459,0.9959843277931213,0.996230173110962,0.9963738560676575,0.7889563083648682,0.7439782977104187,0.9942740440368653,0.7367995977401733,0.6620846867561341,0.9961271047592163,0.9955953121185303,0.7353838324546814,0.6600262880325317,0.9952182769775391,0.6483062267303467,0.4992232918739319,0.9956435680389404,0.9963855504989624,0.9951456308364868,0.7338445901870727,0.6572847723960876,0.9934805512428284,0.6448464035987854,0.49352306723594663,0.9977596879005433,0.9955176115036011,0.6430737495422363,0.48786069750785827,0.9937219738960266,0.46104166507720945,0.0
2+3+4+5+7,0.989534878730774,0.9873653292655945,0.991005277633667,0.99218590259552,0.9906149148941041,0.9912142276763916,0.989843201637268,0.9895507335662842,0.989706838130951,0.993445885181427,0.9925670862197876,0.9928825616836547,0.9929651498794556,0.9914760947227478,0.9909214019775391,0.9887378573417663,0.9859405875205993,0.9924698948860169,0.9920249581336975,0.9924846768379212,0.9909933805465698,0.9909568786621094,0.9901024103164673,0.9890088319778443,0.9969450235366821,0.9950907111167908,0.9938663005828857,0.9936318397521973,0.9955156922340394,0.9927083373069763,0.9916342496871948
2+3+4+7,0.9906976699829102,0.9933398604393006,0.995039701461792,0.7687946796417237,0.8149676442146301,0.9940769910812378,0.69141104221344,0.76900554895401,0.9924429774284362,0.9954319834709168,0.6893324255943298,0.7679715275764465,0.9927021861076355,0.5313929319381714,0.691802155971527,0.9895145654678345,0.9964356541633606,0.9968875646591187,0.6889042973518371,0.7681492686271667,0.994768214225769,0.529652988910675,0.6913993239402771,0.9933267951011657,0.9985743403434754,0.5229455709457398,0.68924880027771,0.9950248718261718,0.0,0.5303125023841858,0.9894941687583924
2+3+5,0.9992248058319092,0.9967678904533386,0.6736111044883728,0.7467824339866638,0.5909789681434632,0.5025172710418702,0.9958418488502503,0.7375063180923462,0.6631270170211792,0.5121151804924011,0.6595320105552673,0.48708693981170653,0.33905326128005975,0.9965696334838867,0.6496612429618835,0.5005825281143188,0.9938613653182984,0.5042168617248535,0.6554785013198853,0.48343558311462403,0.3331125855445861,0.9945320725440979,0.6451876997947693,0.49283612370491026,0.0,0.47331910729408266,0.30509992837905886,0.0,0.9941704034805298,0.46104166507720945,0.0
2+3+5+7,0.9920542597770691,0.9920666098594666,0.669179904460907,0.7435137867927551,0.7947815537452698,0.75083909034729,0.9921608567237854,0.9915194392204285,0.9917263746261596,0.5082422971725464,0.6569855451583863,0.7448398470878601,0.6718606233596802,0.9927234768867492,0.9932249426841736,0.9912621378898621,0.9902970314025878,0.5010040163993835,0.6542302250862122,0.7424846649169922,0.6698013186454773,0.9914826512336731,0.992013669013977,0.9907752633094787,0.0,0.4731056571006775,0.6564438223838807,0.5066666603088379,0.9937219619750977,0.9931249976158142,0.9904669284820556
2+3+7,0.991472864151001,0.9941233992576599,0.6716269850730896,0.5186925411224366,0.6176780104637146,0.7532576441764831,0.6921608805656433,0.7698132157325744,0.994332242012024,0.5077457785606384,0.35175498127937316,0.5194204449653625,0.6716633915901185,0.5320166349411011,0.6924119234085083,0.991844654083252,0.9978217959403992,0.5060241103172303,0.3497919499874115,0.5185071468353272,0.6722516655921936,0.5299684524536132,0.6920819163322449,0.9949950814247132,0.0,0.0,0.35175741314888,0.5078606963157654,0.0,0.532604169845581,0.9935797691345215
2+4,0.9976744174957275,0.5042115688323975,0.6650132536888123,0.5135342240333557,0.40683656334877016,0.49624877572059634,0.35078391432762146,0.25986875295639034,0.3353745937347412,0.9982125163078308,0.6921541810035705,0.5110828638076782,0.6610782384872437,0.5351351499557495,0.34884823560714723,0.4998058259487152,0.0,0.49287149310112,0.34036061167716974,0.25081799626350404,0.3249006628990173,0.0,0.0,0.0,0.9993890047073364,0.5237993478775025,0.33831839561462396,0.48815920352935793,0.0,0.0,0.0
2+4+5,0.9963178277015686,0.5038197875022888,0.6646164298057556,0.740960156917572,0.5868932008743286,0.4961006999015808,0.6541240572929382,0.484502774477005,0.3349185585975647,0.9980139017105103,0.9984858870506287,0.737620735168457,0.6609467387199401,0.9977130889892578,0.6503387451171875,0.4991262137889862,0.0,0.49287149310112,0.6493758797645569,0.47888547778129575,0.3251655697822571,0.46887486577034,0.3041638255119324,0.0,0.9995926737785339,0.9993596553802491,0.6454169631004334,0.488457715511322,0.9993273377418518,0.4642708420753479,0.0
2+4+5+7,0.9920542597770691,0.5010773658752441,0.6628306627273559,0.7390704870223999,0.7917071342468261,0.7462487578392029,0.6526243925094605,0.7400302886962891,0.6656026124954224,0.9946375370025635,0.9959394454956054,0.9943060636520386,0.9940170884132385,0.9954261779785156,0.9936991930007935,0.991262149810791,0.0,0.4909638524055481,0.6481969475746154,0.7385480523109436,0.6619867563247681,0.46824395656585693,0.6516723394393921,0.5007850885391235,0.9965376853942871,0.9975453615188599,0.9965541005134583,0.9936318397521973,0.9988789200782776,0.9958333373069763,0.9924124479293823
2+4+7,0.9939922451972961,0.5021547436714172,0.6629629373550415,0.5123595595359802,0.6118527531623841,0.7472359299659729,0.3492842555046081,0.5154972195625305,0.6655374646186829,0.9958292007446289,0.6903647661209107,0.7692933440208435,0.9939513564109802,0.5326403379440308,0.69247967004776,0.9936893224716187,0.0,0.4920682728290558,0.34036061167716974,0.5115541815757751,0.6627152323722839,0.0,0.3475767910480499,0.5008832156658173,0.9993889927864075,0.5237993478775025,0.6900068879127502,0.9949253678321839,0.0,0.5311458468437195,0.9910505771636963
2+5,0.9998062014579773,0.504701292514801,0.3410714387893677,0.4909601688385009,0.3889967620372772,0.2545903205871582,0.6554192304611206,0.4854113996028899,0.3360911965370178,0.5120158791542053,0.661803150177002,0.4888662934303284,0.3390532553195953,0.9998960494995117,0.6514227628707886,0.5005825281143188,0.0,0.0,0.3092926442623138,0.22801636159420008,0.0,0.4689800143241881,0.3044368624687195,0.0,0.0,0.4759871959686278,0.3073742389678955,0.0,1.0,0.46447917222976687,0.0
2+5+7,0.9928294539451599,0.5014691352844238,0.3388227403163909,0.4892747700214386,0.5936488747596741,0.5045903444290161,0.6531015634536743,0.7404341220855712,0.6661237835884094,0.5081429839134216,0.659394359588623,0.7464666962623596,0.671794879436493,0.9954261779785156,0.994241201877594,0.9917475700378418,0.0,0.0,0.30915394425392145,0.48819018602371217,0.3374172151088714,0.46834911704063414,0.6518771171569824,0.5012757658958436,0.0,0.47566702365875246,0.6583735346794128,0.506766164302826,0.9995515584945679,0.9948958396911621,0.9906614899635315
2+7,0.9945736408233643,0.502448558807373,0.33928570747375486,0.2621552646160125,0.41375405192375175,0.5047384142875672,0.34996591210365297,0.5162544250488281,0.6665146470069885,0.5095332741737366,0.35347557067871094,0.5199288249015808,0.6726495742797851,0.5332640409469604,0.6925474166870117,0.9933980584144593,0.0,0.0,0.0,0.2603783190250396,0.3372847616672516,0.0,0.3477815687656402,0.5001962602138519,0.0,0.0,0.3511371493339538,0.50706467628479,0.0,0.5314583301544189,0.991439688205719
3,0.0,0.4946131110191345,0.3339947164058685,0.2579162418842315,0.20428802073001856,0.2492596209049224,0.3442399501800537,0.2549217641353607,0.3289902210235595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5070281028747559,0.350208044052124,0.2581799626350403,0.3344370722770691,0.5310199856758118,0.3447099030017853,0.4955838918685913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3+4,0.0,0.49422134160995485,0.6583994626998901,0.5084269642829895,0.4027508020401,0.4912635862827301,0.3439672708511352,0.25477032661437987,0.32853419780731197,0.4875868856906891,0.337921530008316,0.24961870908737177,0.3228139281272888,0.0,0.0,0.0,0.999009907245636,0.9995984077453614,0.6903606057167053,0.5089468359947205,0.6594039797782898,0.5305993676185607,0.3443686068058014,0.4948969542980194,1.0,0.5240128040313721,0.3383873105049133,0.48855721950530995,0.0,0.0,0.0
3+4+5,0.0,0.4929480910301208,0.6573412656784058,0.7343207359313965,0.5813915729522705,0.4907206416130066,0.6452624440193176,0.47763754725456237,0.3276221454143524,0.4873882830142975,0.6427391529083252,0.47513980865478517,0.3228139281272888,0.4607068598270416,0.30054200291633604,0.0,0.9968317031860352,0.9980923771858216,0.9969486951828003,0.7348670721054077,0.6581456899642945,0.9949526906013488,0.646211588382721,0.49352307319641114,0.9997963309288025,0.9970117568969726,0.6440385937690735,0.488457715511322,0.9943946242332459,0.4616666674613953,0.0
3+4+5+7,0.0,0.4922624886035919,0.6564814805984497,0.7322778344154358,0.7866909384727478,0.7416090726852417,0.643830943107605,0.7343261003494262,0.6600000023841858,0.48659383654594424,0.6414315223693847,0.7339094996452331,0.6581196546554565,0.45987526178359983,0.6458672046661377,0.49563106894493103,0.9944554448127747,0.9956827402114868,0.9943827986717224,0.9945807814598083,0.9954304695129395,0.9934805631637573,0.9927645206451416,0.993915593624115,0.9983706712722779,0.996157956123352,0.9952446579933166,0.9964179158210754,0.9912556052207947,0.9929166555404663,0.994163429737091
3+4+7,0.0,0.49382957220077517,0.6580026388168335,0.5082226753234863,0.6095469355583191,0.7435834169387817,0.3436946153640747,0.5129227638244629,0.6622801423072815,0.4871896684169769,0.33771506547927854,0.5099644064903259,0.6595660805702209,0.0,0.34674796462059015,0.4970873832702637,0.9982178330421447,0.9987951636314392,0.6900138616561889,0.7703987836837769,0.9980132579803467,0.530073606967926,0.6935836195945739,0.9972522020339966,0.9993890047073364,0.5234791874885559,0.6911784887313843,0.9978109478950501,0.0,0.5335416674613953,0.9966926097869873
3+5,0.0,0.4936336874961853,0.3329365193843841,0.4838100135326385,0.38317152261734005,0.2485192507505416,0.645466935634613,0.4776880323886871,0.32788273096084597,0.0,0.30529938340187074,0.2253177434206009,0.0,0.4608108103275299,0.30033875703811647,0.0,0.9974257588386536,0.5053212761878967,0.656380033493042,0.48389570713043206,0.333311253786087,0.9957938909530639,0.6459385514259338,0.4941118836402893,0.0,0.47278549075126647,0.3055823504924774,0.0,0.9939461946487427,0.46166667342185974,0.0
3+5+7,0.0,0.492752206325531,0.3328703820705413,0.483146071434021,0.5893203854560852,0.501233947277069,0.6451942682266235,0.7353861689567566,0.6613029360771179,0.0,0.30412939190864563,0.48490085601806643,0.33668639063835143,0.4600831568241118,0.6468157172203064,0.49718446731567384,0.9954455494880676,0.5051204800605774,0.6552011013031006,0.7454499125480651,0.6720529794692993,0.9942166209220886,0.995085334777832,0.996957802772522,0.0,0.4721451461315155,0.6579600214958191,0.509353232383728,0.9917040348052979,0.9941666841506958,0.9955252885818482
3+7,0.0,0.4943192839622498,0.33379630446434017,0.25771194696426386,0.41112459897994996,0.50167818069458,0.34410361051559446,0.512872290611267,0.6622149825096131,0.0,0.0,0.26004066467285153,0.3361604273319244,0.0,0.3466124594211578,0.49669902920722964,0.9996039628982544,0.5067269086837769,0.350208044052124,0.5199386477470398,0.6732450366020203,0.5308096766471863,0.6934471011161805,0.9975466132164001,0.0,0.0,0.3523776769638062,0.5087562203407288,0.0,0.5330208539962769,0.9951361894607544
4,0.0,0.0,0.3247354626655578,0.2507660984992981,0.1986245959997177,0.24234946072101587,0.0,0.0,0.0,0.4875868856906891,0.337921530008316,0.24961870908737177,0.3228139281272888,0.0,0.0,0.0,0.0,0.49297189712524403,0.3404993116855621,0.2510224878787994,0.3251655697822571,0.0,0.0,0.0,1.0,0.5240128040313721,0.3383873105049133,0.48855721950530995,0.0,0.0,0.0
4+5,0.0,0.0,0.3247354626655578,0.4785495400428772,0.379045307636261,0.24234946072101587,0.304021805524826,0.2251388132572174,0.0,0.4875868856906891,0.6448726654052734,0.4763599336147307,0.3228139281272888,0.4636174738407135,0.3021680116653442,0.0,0.0,0.49297189712524403,0.649791955947876,0.47903886437416066,0.3251655697822571,0.4689800143241881,0.3044368624687195,0.0,1.0,1.0,0.6457615494728088,0.48855721950530995,1.0,0.4645833373069763,0.0
4+5+7,0.0,0.0,0.32453705072402955,0.47834524512290955,0.5862459540367126,0.4953603208065033,0.30388547182083125,0.4837960660457611,0.333876222372055,0.4871896803379059,0.6448038458824158,0.7368581652641296,0.6595003366470337,0.46330562233924866,0.6494579792022706,0.49796116948127744,0.0,0.4926706850528717,0.6496532678604126,0.7409509181976318,0.6645033121109009,0.46887486577034,0.653788423538208,0.5026496529579163,0.999592661857605,0.9993596553802491,0.998828399181366,0.9983084678649903,0.9997757792472839,0.9985416650772094,0.9980544805526733
4+7,0.0,0.0,0.32466932535171505,0.25066394805908204,0.4061084151268005,0.4956071138381958,0.0,0.25911156535148616,0.33433225750923157,0.4875868856906891,0.33785271048545834,0.5103202939033509,0.65982905626297,0.0,0.3474254727363586,0.49854368567466734,0.0,0.49287149310112,0.3404299616813659,0.5131901860237121,0.6650331020355225,0.0,0.350307160615921,0.5036310195922852,0.9997963309288025,0.5239060759544373,0.6921433448791504,0.9990049719810485,0.0,0.5344791769981384,0.9982490301132202
